"pages","writes"
50,5230
100,3440
150,2671
200,2204
250,1970
300,1786
350,1665
400,1568
450,1484
500,1408
550,1348
600,1290
650,1253
700,1191
750,1133
800,1084
850,1052
900,985
950,945
1000,931
1050,922
1100,898
1150,870
1200,833
1250,797
1300,744
1350,700
1400,673
1450,658
1500,626
1550,600
1600,568
1650,542
1700,520
1750,493
1800,463
1850,429
1900,394
1950,360
2000,325
2050,295
2100,269
2150,242
2200,216
2250,189
2300,157
2350,125
2400,87
2450,42
2500,19
2550,0
