"pages","writes"
50,10736
100,6025
150,4476
200,3582
250,2979
300,2583
350,2294
400,2071
450,1910
500,1770
550,1656
600,1553
650,1416
700,1335
750,1299
800,1268
850,1186
900,1128
950,1074
1000,1025
1050,995
1100,941
1150,933
1200,888
1250,848
1300,794
1350,728
1400,693
1450,667
1500,633
1550,628
1600,561
1650,541
1700,507
1750,478
1800,450
1850,410
1900,383
1950,341
2000,309
2050,288
2100,258
2150,212
2200,194
2250,152
2300,120
2350,99
2400,73
2450,47
2500,15
2550,0
